epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1516,2.3018,4.08074,3.90428,1.56756,0.00594,0.40541,0.21367,0.08715,0.00537,0.37417,0.18101,0.07708,2.16657,3.74622,3.70296,1.31733,0.00030009,0.00030009,0.00030009
2,21.3894,2.16194,3.40174,3.25551,1.44451,0.01319,0.44144,0.35237,0.19757,0.01148,0.4012,0.33234,0.18106,2.04493,3.77599,3.51833,1.21976,0.000612442,0.000612442,0.000612442
3,28.7396,2.14722,3.26435,2.67013,1.43505,0.01025,0.46541,0.29069,0.165,0.01149,0.50724,0.30746,0.18235,2.07519,3.31985,3.31743,1.38048,0.00092272,0.00092272,0.00092272
4,35.5031,2.10618,3.13294,2.44208,1.40961,0.83686,0.38799,0.44062,0.24875,0.85307,0.397,0.46165,0.25146,2.03806,3.46694,2.66524,1.42402,0.00123092,0.00123092,0.00123092
5,42.8527,2.04879,3.09899,2.25061,1.38373,0.77288,0.40455,0.49308,0.28165,0.7676,0.45001,0.51234,0.27963,1.99536,3.22792,2.45253,1.40598,0.00141014,0.00141014,0.00141014
6,49.5481,2.05454,3.09026,2.09806,1.35657,0.60565,0.55503,0.50718,0.29189,0.51759,0.53371,0.45807,0.28261,2.00821,3.15362,2.16399,1.37604,0.00140542,0.00140542,0.00140542
7,56.8834,1.99926,2.97362,1.96607,1.34377,0.64668,0.56949,0.53266,0.30153,0.55892,0.53121,0.48427,0.27731,1.97445,3.09438,2.05051,1.33464,0.00140071,0.00140071,0.00140071
8,63.8257,1.96842,2.95878,1.90664,1.31129,0.59119,0.57914,0.5393,0.31343,0.55789,0.57458,0.53717,0.31393,1.92262,3.08536,1.9644,1.36343,0.00139599,0.00139599,0.00139599
9,70.894,1.98652,2.98316,1.95487,1.36296,0.61246,0.57469,0.51586,0.30188,0.59351,0.58332,0.5348,0.30091,2.02248,3.08909,1.89199,1.45713,0.00139127,0.00139127,0.00139127
10,78.3648,1.95694,2.94442,1.87492,1.35528,0.69056,0.5952,0.58011,0.32965,0.61573,0.62355,0.57931,0.32473,1.98156,3.06318,1.69298,1.40858,0.00138656,0.00138656,0.00138656
